day,hour_of_day,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,final_mode,agreement
8/10/2025,6,driving,driving,driving,transit,driving,driving,driving,driving,driving,driving,driving,9
8/10/2025,7,driving,driving,driving,bicycling,driving,driving,driving,driving,driving,driving,driving,9
8/10/2025,8,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/10/2025,9,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/10/2025,10,driving,driving,driving,driving,transit,driving,driving,driving,driving,driving,driving,9
8/10/2025,11,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,9
8/10/2025,12,driving,driving,driving,driving,bicycling,driving,driving,driving,driving,driving,driving,9
8/10/2025,13,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/10/2025,14,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/10/2025,15,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,9
8/10/2025,16,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,9
8/10/2025,17,driving,driving,driving,driving,driving,driving,driving,driving,driving,bicycling,driving,9
8/10/2025,18,driving,bicycling,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/10/2025,19,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/10/2025,20,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,9
8/10/2025,21,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/10/2025,22,driving,driving,driving,driving,driving,driving,bicycling,driving,transit,driving,driving,8
8/4/2025,6,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/4/2025,7,driving,driving,driving,driving,driving,transit,transit,driving,bicycling,driving,driving,7
8/4/2025,8,driving,bicycling,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/4/2025,9,walking,driving,driving,driving,driving,driving,driving,driving,bicycling,driving,driving,8
8/4/2025,10,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/4/2025,11,bicycling,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,8
8/4/2025,12,walking,driving,driving,driving,driving,transit,driving,driving,driving,driving,driving,8
8/4/2025,13,driving,transit,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/4/2025,14,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,9
8/4/2025,15,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/4/2025,16,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/4/2025,17,driving,driving,driving,driving,driving,driving,driving,driving,driving,bicycling,driving,9
8/4/2025,18,driving,driving,driving,driving,bicycling,driving,driving,driving,driving,driving,driving,9
8/4/2025,19,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/4/2025,20,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/4/2025,21,driving,walking,driving,driving,driving,bicycling,bicycling,driving,driving,driving,driving,7
8/4/2025,22,driving,driving,driving,bicycling,driving,driving,driving,driving,driving,bicycling,driving,8
8/5/2025,6,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/5/2025,7,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/5/2025,8,driving,walking,driving,driving,driving,walking,driving,driving,driving,driving,driving,8
8/5/2025,9,driving,driving,driving,driving,driving,driving,driving,driving,transit,driving,driving,9
8/5/2025,10,driving,driving,transit,driving,driving,driving,driving,driving,driving,driving,driving,9
8/5/2025,11,driving,driving,walking,transit,driving,driving,driving,driving,driving,driving,driving,8
8/5/2025,12,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/5/2025,13,driving,driving,driving,driving,driving,driving,driving,driving,driving,transit,driving,9
8/5/2025,14,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,9
8/5/2025,15,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/5/2025,16,driving,driving,driving,driving,driving,driving,driving,bicycling,driving,driving,driving,9
8/5/2025,17,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/5/2025,18,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,9
8/5/2025,19,driving,driving,driving,transit,driving,driving,driving,driving,bicycling,driving,driving,8
8/5/2025,20,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/5/2025,21,driving,driving,driving,driving,driving,bicycling,driving,driving,bicycling,driving,driving,8
8/5/2025,22,driving,driving,driving,transit,driving,driving,driving,driving,driving,driving,driving,9
8/6/2025,6,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,7,driving,driving,driving,driving,driving,transit,transit,driving,driving,transit,driving,7
8/6/2025,8,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,9,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,9
8/6/2025,10,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,9
8/6/2025,11,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,12,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,9
8/6/2025,13,bicycling,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/6/2025,14,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,15,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,16,driving,driving,driving,driving,transit,driving,driving,driving,driving,driving,driving,9
8/6/2025,17,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,18,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,19,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,20,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/6/2025,21,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,9
8/6/2025,22,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,6,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,7,driving,driving,driving,transit,driving,driving,driving,driving,driving,driving,driving,9
8/7/2025,8,driving,driving,driving,driving,driving,driving,driving,driving,transit,driving,driving,9
8/7/2025,9,driving,driving,driving,transit,driving,transit,driving,driving,driving,driving,driving,8
8/7/2025,10,walking,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,8
8/7/2025,11,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,12,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,13,driving,transit,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/7/2025,14,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,15,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,16,driving,bicycling,driving,driving,driving,driving,driving,driving,driving,driving,driving,9
8/7/2025,17,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,9
8/7/2025,18,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,9
8/7/2025,19,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,9
8/7/2025,20,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,21,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/7/2025,22,driving,walking,transit,driving,bicycling,driving,driving,driving,driving,driving,driving,7
8/8/2025,6,driving,driving,driving,driving,driving,driving,transit,driving,driving,driving,driving,9
8/8/2025,7,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,8,driving,driving,driving,driving,driving,driving,driving,driving,bicycling,driving,driving,9
8/8/2025,9,bicycling,driving,driving,driving,driving,driving,driving,driving,bicycling,driving,driving,8
8/8/2025,10,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,11,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,12,transit,driving,driving,driving,transit,driving,driving,driving,driving,driving,driving,8
8/8/2025,13,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,14,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,15,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,16,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,17,driving,driving,driving,driving,driving,transit,driving,driving,driving,driving,driving,9
8/8/2025,18,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,19,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,20,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/8/2025,21,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,9
8/8/2025,22,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,6,driving,driving,bicycling,driving,driving,driving,driving,walking,driving,driving,driving,8
8/9/2025,7,driving,driving,driving,walking,transit,driving,driving,driving,driving,transit,driving,7
8/9/2025,8,driving,driving,driving,driving,bicycling,walking,bicycling,driving,driving,driving,driving,7
8/9/2025,9,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,9
8/9/2025,10,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,9
8/9/2025,11,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,12,bicycling,driving,driving,driving,driving,driving,driving,walking,driving,walking,driving,7
8/9/2025,13,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,14,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,15,driving,driving,bicycling,driving,driving,driving,driving,driving,driving,driving,driving,9
8/9/2025,16,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,17,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,18,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,19,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,9
8/9/2025,20,driving,bicycling,walking,driving,driving,driving,driving,driving,driving,driving,driving,8
8/9/2025,21,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
8/9/2025,22,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,10
